"tissue","sample","individual","r","outlier"
"CRBLM","GSM401642","4729",0.996921145143776,FALSE
"CRBLM","GSM401555","4782",0.99769279666337,FALSE
"CRBLM","GSM401557","4786",0.982475200155755,FALSE
"CRBLM","GSM401542","4789",0.995601909610483,FALSE
"CRBLM","GSM401621","4841",0.994228033213505,FALSE
"CRBLM","GSM401585","4915",0.993061900731052,FALSE
"CRBLM","GSM401641","4916",0.939542286279226,FALSE
"CRBLM","GSM401538","5028",0.996309360748914,FALSE
"CRBLM","GSM401599","5078",0.996802501282907,FALSE
"CRBLM","GSM401562","5079",0.861076678805167,TRUE
"CRBLM","GSM401637","5081",0.996813282391975,FALSE
"FCTX","GSM401704","142",0.997717730493954,FALSE
"FCTX","GSM401710","384",0.997716030452533,FALSE
"FCTX","GSM401709","602",0.988485220016472,FALSE
"FCTX","GSM401683","710",0.983579393682864,FALSE
"FCTX","GSM401690","712",0.987512478954689,FALSE
"FCTX","GSM401674","713",0.998127418665921,FALSE
"FCTX","GSM401724","719",0.994964226855323,FALSE
"FCTX","GSM401662","813",0.997792635413661,FALSE
"FCTX","GSM401721","819",0.996567185971385,FALSE
"FCTX","GSM401682","827",0.983675615782853,FALSE
"FCTX","GSM401664","871",0.995540589357354,FALSE
"FCTX","GSM401672","879",0.997933482069098,FALSE
"FCTX","GSM401665","880",0.995173107332353,FALSE
"FCTX","GSM401719","914",0.985654445911929,FALSE
"FCTX","GSM401671","927",0.99802873731213,FALSE
"FCTX","GSM401687","933",0.977727255484874,FALSE
"FCTX","GSM401718","993",0.992573529295314,FALSE
"FCTX","GSM401720","994",0.997621295129663,FALSE
"FCTX","GSM401714","995",0.997605525778755,FALSE
"FCTX","GSM401715","1028",0.91659000472372,FALSE
"FCTX","GSM401716","1037",0.996386966585669,FALSE
"FCTX","GSM401744","1064",0.980589986811943,FALSE
"FCTX","GSM401723","1065",0.997175769456515,FALSE
"FCTX","GSM401666","1076",0.986594571032904,FALSE
"FCTX","GSM401669","1079",0.996268657679159,FALSE
"FCTX","GSM401697","1104",0.995299582474048,FALSE
"FCTX","GSM401692","1105",0.99765571334952,FALSE
"FCTX","GSM401693","1114",0.997834009235167,FALSE
"FCTX","GSM401722","1133",0.98357249036251,FALSE
"FCTX","GSM401699","1134",0.987123340098805,FALSE
"FCTX","GSM401695","1136",0.997668483884907,FALSE
"FCTX","GSM401758","1158",0.995792582904562,FALSE
"FCTX","GSM401762","1206",0.99761939339441,FALSE
"FCTX","GSM401707","1209",0.985589475081378,FALSE
"FCTX","GSM401705","1226",0.997859969968261,FALSE
"FCTX","GSM401753","1230",0.987620326233374,FALSE
"FCTX","GSM401791","1260",0.993560378538886,FALSE
"FCTX","GSM401712","1326",0.983522475268476,FALSE
"FCTX","GSM401756","1344",0.983402380721727,FALSE
"FCTX","GSM401759","1361",0.997490814109185,FALSE
"FCTX","GSM401779","1454",0.989560630397237,FALSE
"FCTX","GSM401700","1465",0.987167208991151,FALSE
"FCTX","GSM401694","1486",0.987292379695765,FALSE
"FCTX","GSM401790","1496",0.98306407842222,FALSE
"FCTX","GSM401747","1498",0.987758797741716,FALSE
"FCTX","GSM401711","1502",0.98627297498704,FALSE
"FCTX","GSM401741","1541",0.984894401587682,FALSE
"FCTX","GSM401786","1544",0.987785634124921,FALSE
"FCTX","GSM401738","1556",0.995447283085532,FALSE
"FCTX","GSM401685","1568",0.987004766467942,FALSE
"FCTX","GSM401725","1570",0.986623665088906,FALSE
"FCTX","GSM401667","1571",0.987836169854008,FALSE
"FCTX","GSM401681","1578",0.986166884835177,FALSE
"FCTX","GSM401680","1579",0.996698836856815,FALSE
"FCTX","GSM401770","1583",0.976623383474535,FALSE
"FCTX","GSM401743","1584",0.996988116994948,FALSE
"FCTX","GSM401736","1595",0.996893822168793,FALSE
"FCTX","GSM401740","1603",0.986574433131357,FALSE
"FCTX","GSM401765","1611",0.982725578074785,FALSE
"FCTX","GSM401734","1612",0.939401218853962,FALSE
"FCTX","GSM401764","1613",0.996948023127056,FALSE
"FCTX","GSM401726","1640",0.988149123496123,FALSE
"FCTX","GSM401717","1648",0.997589833407868,FALSE
"FCTX","GSM401676","1652",0.997858078370559,FALSE
"FCTX","GSM401731","1668",0.949180199191615,FALSE
"FCTX","GSM401775","1672",0.997169579152379,FALSE
"FCTX","GSM401729","1710",0.986917048441115,FALSE
"FCTX","GSM401733","1712",0.986140948023713,FALSE
"FCTX","GSM401755","1713",0.997401847346019,FALSE
"FCTX","GSM401763","1715",0.992534800443866,FALSE
"FCTX","GSM401778","1775",0.99680361481105,FALSE
"FCTX","GSM401784","1792",0.9978132914228,FALSE
"FCTX","GSM401776","1795",0.997040167218038,FALSE
"FCTX","GSM401737","1802",0.992505959483462,FALSE
"FCTX","GSM401742","1805",0.995538469347772,FALSE
"FCTX","GSM401782","1825",0.996378544267242,FALSE
"FCTX","GSM401691","1827",0.997244907839319,FALSE
"FCTX","GSM401780","1830",0.997504872345674,FALSE
"FCTX","GSM401771","1838",0.985834597750437,FALSE
"FCTX","GSM401732","1839",0.984151934788509,FALSE
"FCTX","GSM401752","1840",0.98621745033918,FALSE
"FCTX","GSM401754","1846",0.996528984268243,FALSE
"FCTX","GSM401749","1847",0.996928528575077,FALSE
"FCTX","GSM401748","1849",0.996403761934501,FALSE
