"tissue","sample","individual","cor","dev","outlier"
"CRBLM","GSM401646","602",0.996726490972564,20.8873650827498,FALSE
"CRBLM","GSM401639","705",0.996659225540924,21.7618181829118,FALSE
"CRBLM","GSM401655","712",0.997070749926319,21.0389838598201,FALSE
"CRBLM","GSM401573","713",0.997551161246939,17.163617697321,FALSE
"CRBLM","GSM401606","719",0.993182752124768,50.212803883632,FALSE
"CRBLM","GSM401558","745",0.997638553605497,15.0181466532625,FALSE
"CRBLM","GSM401541","813",0.997057428884091,19.0247185833284,FALSE
"CRBLM","GSM401631","819",0.995395806897191,30.5729240005228,FALSE
"CRBLM","GSM401550","827",0.996400633486991,23.4111384352608,FALSE
"CRBLM","GSM401543","871",0.99737289536749,17.3313005421742,FALSE
"CRBLM","GSM401556","879",0.997664210402335,15.3240948126755,FALSE
"CRBLM","GSM401544","880",0.994115518372563,39.6411028953111,FALSE
"CRBLM","GSM401561","914",0.997238838660438,17.5508626045949,FALSE
"CRBLM","GSM401552","927",0.942261202477272,357.361070661983,FALSE
"CRBLM","GSM401554","933",0.996036515925927,25.6413675669615,FALSE
"CRBLM","GSM401600","993",0.997706966252524,14.6663957399826,FALSE
"CRBLM","GSM401602","994",0.997287976809957,17.9247970376255,FALSE
"CRBLM","GSM401616","995",0.992814540855722,49.5141614005148,FALSE
"CRBLM","GSM401564","1028",0.938396031940033,504.161251472501,FALSE
"CRBLM","GSM401598","1037",0.995568488263685,28.8059031401998,FALSE
"CRBLM","GSM401647","1064",0.996402447116538,23.6256266128432,FALSE
"CRBLM","GSM401611","1065",0.55691724081373,2211.84295136599,TRUE
"CRBLM","GSM401651","1078",0.997770848814308,15.0622055834147,FALSE
"CRBLM","GSM401548","1079",0.997071680869704,20.0738669800815,FALSE
"CRBLM","GSM401574","1105",0.997684162644073,15.7404687092911,FALSE
"CRBLM","GSM401643","1114",0.997158374586075,20.9412413893515,FALSE
"CRBLM","GSM401604","1133",0.997343030133722,16.9821484912466,FALSE
"CRBLM","GSM401638","1136",0.99808769137314,12.6903376757046,FALSE
"CRBLM","GSM401628","1158",0.996218252531944,24.0272289540344,FALSE
"CRBLM","GSM401549","1206",0.997223894797106,18.2083211553137,FALSE
"CRBLM","GSM401645","1209",0.996999330259255,21.0321057545669,FALSE
"CRBLM","GSM401578","1226",0.996886234753929,20.090627990216,FALSE
"CRBLM","GSM401581","1230",0.983279462020653,124.502959533195,FALSE
"CRBLM","GSM401603","1260",0.994611016452513,34.8888024990154,FALSE
"CRBLM","GSM401618","1344",0.996518828888789,22.753068762674,FALSE
"CRBLM","GSM401568","1454",0.99718861119683,19.4909249233921,FALSE
"CRBLM","GSM401657","1486",0.997031329012609,23.2497896981123,FALSE
