"tissue","sample","individual","cor","dev","outlier"
"TCTX","GSM395358","4543",0.988403374674114,866.311190266606,FALSE
"FCTX","GSM394972","712",0.991177263272562,865.11217718525,FALSE
"FCTX","GSM395032","1792",0.989675509155649,860.192020685138,FALSE
"TCTX","GSM395264","712",0.990059043852576,859.257185156793,FALSE
"CRBLM","GSM394919","4590",0.991615085426345,858.693079366158,FALSE
"CRBLM","GSM394868","1579",0.991453971327397,852.463894611397,FALSE
"TCTX","GSM395267","745",0.988127113243009,849.261513806367,FALSE
"TCTX","GSM395357","4542",0.988297702951411,849.082154423888,FALSE
"CRBLM","GSM394823","710",0.989651477431652,840.905189837718,FALSE
"FCTX","GSM395073","4726",0.989453233501629,837.939485348068,FALSE
"PONS","GSM395201","1961",0.990468224112869,836.753511710961,FALSE
"PONS","GSM395135","1037",0.987098861053417,835.018651542156,FALSE
"CRBLM","GSM394883","1775",0.990457395086222,833.935035691328,FALSE
"FCTX","GSM394966","5087",0.989841871127218,830.932278778629,FALSE
"TCTX","GSM395280","1064",0.988045806386985,830.888863600195,FALSE
"FCTX","GSM395070","4636",0.990083576560346,828.041982852713,FALSE
"CRBLM","GSM394843","1078",0.991247482661498,826.3150151839,FALSE
"TCTX","GSM395373","5028",0.988436201121983,823.806807659659,FALSE
"CRBLM","GSM394877","1652",0.990252075910147,821.466541437854,FALSE
"PONS","GSM395178","1775",0.987899353687926,820.934101218679,FALSE
"FCTX","GSM394985","993",0.990604074984891,816.373713398679,FALSE
"TCTX","GSM395289","1136",0.988483620424074,814.811157204194,FALSE
"CRBLM","GSM394895","1902",0.990728649883917,814.058425197664,FALSE
"CRBLM","GSM394836","933",0.990046516035045,810.673535868003,FALSE
"FCTX","GSM395059","2093",0.989929248029245,810.626284372875,FALSE
"TCTX","GSM395279","1037",0.988297343754191,808.597771462202,FALSE
"TCTX","GSM395295","1326",0.988802000103325,805.207911518775,FALSE
"TCTX","GSM395327","1802",0.99010932360337,803.801628164484,FALSE
"CRBLM","GSM394849","1136",0.991304940874157,803.702822016488,FALSE
"TCTX","GSM395252","4782",0.988471069094484,802.662959206054,FALSE
"FCTX","GSM395065","4545",0.990788566130139,798.969276527526,FALSE
"TCTX","GSM395334","1849",0.988693355834607,798.178077610407,FALSE
"CRBLM","GSM394826","719",0.990278599508417,798.073774592627,FALSE
"TCTX","GSM395367","4727",0.988593961121376,797.899719510255,FALSE
"FCTX","GSM395004","1326",0.990587714888125,796.466271344884,FALSE
"TCTX","GSM395284","1104",0.989732645494349,793.346073331823,FALSE
"CRBLM","GSM394900","1924",0.990654468865568,791.468667402562,FALSE
"TCTX","GSM395328","1825",0.990134245848756,791.261990103912,FALSE
"TCTX","GSM395370","4916",0.988712484092132,790.381869013587,FALSE
"TCTX","GSM395385","1454",0.989267029744483,789.580485404905,FALSE
"TCTX","GSM395378","1583",0.989164832308228,788.279789127315,FALSE
"TCTX","GSM395311","1611",0.989745266058545,787.380040512523,FALSE
"TCTX","GSM395305","1568",0.988908312748032,786.646441632979,FALSE
"FCTX","GSM395011","1544",0.99061500325385,784.690360578111,FALSE
"PONS","GSM395233","1652",0.988391744958493,781.158230104898,FALSE
"TCTX","GSM395301","1540",0.989448570858027,780.253967027655,FALSE
"FCTX","GSM395040","1849",0.990716403618646,779.393994393727,FALSE
"PONS","GSM395143","1114",0.988457826805083,778.827788884131,FALSE
"FCTX","GSM395079","5024",0.990188530396428,776.779625549255,FALSE
"TCTX","GSM395349","2020",0.989098372889197,775.734108264714,FALSE
"TCTX","GSM395326","1797",0.989403528894101,766.52561749484,FALSE
"CRBLM","GSM394891","1849",0.990799911810511,766.103326313554,FALSE
"TCTX","GSM395259","142",0.991517629486367,763.260327283943,FALSE
"PONS","GSM395224","5024",0.988674640723052,762.593388911101,FALSE
"FCTX","GSM394994","1105",0.991530089399359,761.402651875394,FALSE
"FCTX","GSM394990","1076",0.992335557989875,761.196620296154,FALSE
"CRBLM","GSM394884","1795",0.992007121455942,759.180978644305,FALSE
"CRBLM","GSM394913","4263",0.990944724415469,755.499332053523,FALSE
"TCTX","GSM395345","1939",0.990178369945874,754.45558101851,FALSE
"TCTX","GSM395324","1792",0.989029541604311,753.597371382944,FALSE
"CRBLM","GSM394837","993",0.99080875363432,750.470870035546,FALSE
"CRBLM","GSM394918","4549",0.991215456588792,750.260893470253,FALSE
"FCTX","GSM395005","1454",0.990802777152067,749.447278587695,FALSE
"CRBLM","GSM394871","1611",0.991750104754844,749.317675671032,FALSE
"CRBLM","GSM394880","1710",0.991551924633009,748.265274813243,FALSE
"TCTX","GSM395339","1903",0.99041769781847,741.541394149307,FALSE
"FCTX","GSM394979","871",0.991408193765057,740.306484503538,FALSE
"TCTX","GSM395255","4789",0.989271895049581,740.237905824823,FALSE
"PONS","GSM395185","1838",0.991114936202313,740.086491141111,FALSE
"CRBLM","GSM394865","1568",0.991196610358553,738.720284465113,FALSE
"TCTX","GSM395262","705",0.989648366801205,738.064541061922,FALSE
"CRBLM","GSM394844","1079",0.992438770257446,737.803555101189,FALSE
"FCTX","GSM394995","1114",0.991792972588134,736.187383972897,FALSE
"CRBLM","GSM394930","5028",0.991602080156088,734.116977095796,FALSE
"TCTX","GSM395257","5086",0.991498632748429,733.721082030135,FALSE
"PONS","GSM395176","1712",0.989160417178158,733.274130677072,FALSE
"FCTX","GSM395014","1568",0.99135347460862,728.143320266067,FALSE
"FCTX","GSM395088","5079",0.990779980956626,727.948463204936,FALSE
"FCTX","GSM395074","4727",0.991401831695545,723.41622295926,FALSE
"TCTX","GSM395290","1170",0.989526964234568,722.233679254526,FALSE
"PONS","GSM395120","712",0.98904699531653,721.724949992169,FALSE
"TCTX","GSM395323","1775",0.990354224142154,720.743732428806,FALSE
"PONS","GSM395119","710",0.989023345092811,720.456531127982,FALSE
"FCTX","GSM395002","1226",0.991216737393114,719.94150902311,FALSE
"TCTX","GSM395380","602",0.99004706048113,715.33691419535,FALSE
"PONS","GSM395133","993",0.989713658690382,714.849905441096,FALSE
"CRBLM","GSM394896","1903",0.991491872153037,714.767913762369,FALSE
"TCTX","GSM395368","4842",0.989789830696651,707.086331430047,FALSE
"FCTX","GSM394998","1136",0.991296205265438,706.857891275529,FALSE
"TCTX","GSM395382","1917",0.990638688877438,706.026734305214,FALSE
"FCTX","GSM394968","384",0.992031403186666,692.798490776157,FALSE
"FCTX","GSM395068","4593",0.992607088305216,692.562321000937,FALSE
"CRBLM","GSM394897","1907",0.991713818298696,691.490069731881,FALSE
"CRBLM","GSM394848","1134",0.993320395696753,690.002437970461,FALSE
"PONS","GSM395229","1715",0.989394521737737,689.611655741694,FALSE
"FCTX","GSM395018","1595",0.99136102295734,687.987812043498,FALSE
"PONS","GSM395212","4590",0.990090590013029,687.330959376115,FALSE
"CRBLM","GSM394911","2093",0.991531406431132,686.966975112624,FALSE
"CRBLM","GSM394881","1712",0.993497153579756,686.38878632391,FALSE
"TCTX","GSM395369","4903",0.990519704287996,686.318578491397,FALSE
"TCTX","GSM395319","1672",0.990870559856538,684.770782503972,FALSE
"FCTX","GSM394974","719",0.991468325186248,682.090919455807,FALSE
"PONS","GSM395160","1556",0.989918270852713,678.520735967974,FALSE
"TCTX","GSM395371","4924",0.990614295163868,677.711386844598,FALSE
"FCTX","GSM394984","933",0.99210675953282,676.541315344454,FALSE
"CRBLM","GSM394934","602",0.991826051050965,676.264263824002,FALSE
"PONS","GSM395204","2066",0.990331367262796,675.282263991047,FALSE
"TCTX","GSM395361","4590",0.99063100867133,671.953036881578,FALSE
"PONS","GSM395175","1710",0.99014968765829,671.933391897329,FALSE
"PONS","GSM395126","827",0.990636884839218,670.002306237742,FALSE
"CRBLM","GSM394832","879",0.992358814952914,664.073973475065,FALSE
"TCTX","GSM395277","993",0.991359940854498,662.966844369087,FALSE
"TCTX","GSM395321","1712",0.990840620645816,659.004465481845,FALSE
"TCTX","GSM395379","1715",0.990419307226213,656.027395506574,FALSE
"FCTX","GSM395060","2102",0.991915256283032,652.970565675695,FALSE
"CRBLM","GSM394856","1454",0.992824598594376,652.688566967264,FALSE
"FCTX","GSM395083","1715",0.99179188805645,649.834894903116,FALSE
"CRBLM","GSM394841","1065",0.992104871361768,647.782831096667,FALSE
"CRBLM","GSM394912","2102",0.992515124729298,647.125787306667,FALSE
"TCTX","GSM395306","1571",0.991302122683049,639.964786576134,FALSE
"TCTX","GSM395273","880",0.991058852227225,638.314283775866,FALSE
"FCTX","GSM395047","1909",0.992628038585728,636.694307889685,FALSE
"CRBLM","GSM394888","1838",0.99239843847377,636.573482450299,FALSE
"FCTX","GSM395086","1640",0.992537046597125,634.919630952051,FALSE
"FCTX","GSM395078","4924",0.992563037752238,634.870294803356,FALSE
"FCTX","GSM394976","813",0.99226549125087,634.86940580445,FALSE
"TCTX","GSM395292","1209",0.991333514069635,632.355229334587,FALSE
