"tissue","sample","individual","r","outlier"
"CRBLM","GSM394895","1902",0.990669796736061,FALSE
"CRBLM","GSM394896","1903",0.991487503895454,FALSE
"CRBLM","GSM394897","1907",0.991536248362577,FALSE
"CRBLM","GSM394898","1909",0.99335013437286,FALSE
"CRBLM","GSM394899","1917",0.988613704674762,FALSE
"CRBLM","GSM394900","1924",0.990565725151553,FALSE
"CRBLM","GSM394901","1935",0.993798399073127,FALSE
"CRBLM","GSM394902","1936",0.995083444277192,FALSE
"CRBLM","GSM394903","1939",0.984725012490628,FALSE
"CRBLM","GSM394904","1940",0.990466432421324,FALSE
"CRBLM","GSM394905","1961",0.990403551760465,FALSE
"CRBLM","GSM394906","2000",0.993063130826321,FALSE
"CRBLM","GSM394907","2020",0.991306719215767,FALSE
"CRBLM","GSM394908","2037",0.98564138522832,FALSE
"CRBLM","GSM394909","2066",0.989410843816405,FALSE
"CRBLM","GSM394910","2069",0.9037475897039,FALSE
"CRBLM","GSM394911","2093",0.991228845833552,FALSE
"CRBLM","GSM394912","2102",0.992228483127538,FALSE
"CRBLM","GSM394913","4263",0.990865212732798,FALSE
"CRBLM","GSM394914","4540",0.987502577856826,FALSE
"CRBLM","GSM394915","4542",0.991929701777242,FALSE
"CRBLM","GSM394916","4543",0.987316731053614,FALSE
"CRBLM","GSM394917","4545",0.992016513470723,FALSE
"CRBLM","GSM394918","4549",0.991189539544345,FALSE
"CRBLM","GSM394919","4590",0.991530720957729,FALSE
"CRBLM","GSM394920","4593",0.993534665825499,FALSE
"CRBLM","GSM394921","4598",0.993129107550925,FALSE
"CRBLM","GSM394922","4636",0.986340131768697,FALSE
"CRBLM","GSM394939","4640",0.987645508736588,FALSE
"CRBLM","GSM394923","4725",0.956239530295008,FALSE
"CRBLM","GSM394924","4726",0.976333631804122,FALSE
"CRBLM","GSM394925","4727",0.992753294560923,FALSE
"CRBLM","GSM394811","4729",0.979261588682407,FALSE
"CRBLM","GSM394812","4782",0.977707311401974,FALSE
"CRBLM","GSM394813","4786",0.920963102078874,FALSE
"CRBLM","GSM394814","4788",0.805315894824687,TRUE
"CRBLM","GSM394815","4789",0.987289463098129,FALSE
"CRBLM","GSM394809","4841",0.981868802943634,FALSE
"CRBLM","GSM394926","4842",0.994032348681996,FALSE
"CRBLM","GSM394940","4903",0.971060369343095,FALSE
"CRBLM","GSM394810","4915",0.92257803847172,FALSE
"CRBLM","GSM394927","4916",0.993200200342671,FALSE
"CRBLM","GSM394928","4924",0.992691664582035,FALSE
"CRBLM","GSM394929","5024",0.99373487665058,FALSE
"CRBLM","GSM394930","5028",0.991646595355111,FALSE
"CRBLM","GSM394931","5078",0.993263731728098,FALSE
"CRBLM","GSM394941","5079",0.988879532469854,FALSE
"CRBLM","GSM394816","5081",0.938506247843029,FALSE
"CRBLM","GSM394817","5086",0.983239541345121,FALSE
"CRBLM","GSM394818","5087",0.97936684883284,FALSE
"FCTX","GSM394967","142",0.995068835294308,FALSE
"FCTX","GSM394968","384",0.99203935606009,FALSE
"FCTX","GSM395084","602",0.982089952486966,FALSE
"FCTX","GSM394969","604",0.986330765560589,FALSE
"FCTX","GSM394970","705",0.985011972797932,FALSE
"FCTX","GSM394971","710",0.989225670057535,FALSE
"FCTX","GSM394972","712",0.990941937234626,FALSE
"FCTX","GSM394973","713",0.988772570894411,FALSE
"FCTX","GSM394974","719",0.991445833917459,FALSE
"FCTX","GSM394975","745",0.986573978004286,FALSE
"FCTX","GSM394976","813",0.992230502713452,FALSE
"FCTX","GSM394977","819",0.993754703179846,FALSE
"FCTX","GSM394978","827",0.994541018194592,FALSE
"FCTX","GSM394979","871",0.991368469875366,FALSE
"FCTX","GSM394980","879",0.994880821294787,FALSE
"FCTX","GSM394981","880",0.9681191752973,FALSE
"FCTX","GSM394982","914",0.98376636325214,FALSE
"FCTX","GSM394983","927",0.993180891517964,FALSE
"FCTX","GSM394984","933",0.991615289772514,FALSE
"FCTX","GSM394985","993",0.990658891032792,FALSE
"FCTX","GSM394986","994",0.993291517419029,FALSE
"FCTX","GSM394987","1037",0.886715108102993,TRUE
"FCTX","GSM394988","1064",0.975863069449303,FALSE
"FCTX","GSM394989","1065",0.991500903017157,FALSE
"FCTX","GSM394990","1076",0.991897530162776,FALSE
"FCTX","GSM394991","1078",0.986945530097353,FALSE
"FCTX","GSM394992","1079",0.992302688815404,FALSE
"FCTX","GSM394993","1104",0.993751762888446,FALSE
"FCTX","GSM394994","1105",0.991481106845291,FALSE
"FCTX","GSM394995","1114",0.991713212412905,FALSE
"FCTX","GSM394996","1133",0.984545988831362,FALSE
"FCTX","GSM394997","1134",0.994383764504822,FALSE
"FCTX","GSM394998","1136",0.991173478568468,FALSE
"FCTX","GSM394945","1158",0.958891065187995,FALSE
"FCTX","GSM394999","1170",0.969340354207127,FALSE
"FCTX","GSM395000","1206",0.992590181453941,FALSE
