"tissue","sample","individual","cor","dev","outlier"
"CRBLM","GSM394157","1612",0.994964223035861,24.550031678279,FALSE
"TCTX","GSM394643","1114",0.995035684781188,24.3490142359495,FALSE
"FCTX","GSM394296","1578",0.995069035258699,24.2329904086949,FALSE
"TCTX","GSM394631","710",0.995036314085453,24.1763944197242,FALSE
"CRBLM","GSM394199","1133",0.995120208488289,24.1107136659983,FALSE
"CRBLM","GSM394165","1909",0.995056613654799,24.0604823024481,FALSE
"TCTX","GSM394651","1486",0.995126800025528,23.6918372789668,FALSE
"FCTX","GSM394356","1795",0.995307473853491,23.2785177402486,FALSE
"FCTX","GSM394282","5024",0.995383468130066,23.1083159359095,FALSE
"CRBLM","GSM394211","1713",0.995302307091513,22.9623531545046,FALSE
"TCTX","GSM394586","5078",0.995262820528109,22.8972053369748,FALSE
"FCTX","GSM394294","1568",0.995419131013396,22.5310329583658,FALSE
"CRBLM","GSM394150","1544",0.995369743940172,22.4412671585677,FALSE
"FCTX","GSM394265","4598",0.995563095504406,22.2217480858793,FALSE
"FCTX","GSM394273","4786",0.995516963627016,22.1596979686346,FALSE
"CRBLM","GSM394208","1498",0.995467277929402,22.1430054487807,FALSE
"FCTX","GSM394355","1792",0.995526040473665,22.0081025301452,FALSE
"FCTX","GSM394302","1648",0.995537676992449,21.9083896898846,FALSE
"TCTX","GSM394655","1712",0.995469790720764,21.8678872999707,FALSE
"CRBLM","GSM394158","1613",0.995552019218738,21.6085911521859,FALSE
"FCTX","GSM394350","1498",0.995619676784962,21.5922322803231,FALSE
"FCTX","GSM394353","1713",0.995601310329569,21.5803067937832,FALSE
"CRBLM","GSM394133","927",0.995642006991843,21.4651637971798,FALSE
"CRBLM","GSM394131","4786",0.995585084262442,21.4551705528585,FALSE
"TCTX","GSM394661","1825",0.995613042386391,21.4262774514008,FALSE
"TCTX","GSM394653","1498",0.995613165109499,21.2888288612614,FALSE
"TCTX","GSM394649","1226",0.995626527654594,21.0263346688434,FALSE
"PONS","GSM394470","710",0.995768850528004,20.4486206871157,FALSE
"CRBLM","GSM394166","1917",0.995867492970135,20.0511634814453,FALSE
"CRBLM","GSM394204","1226",0.996028055551768,19.2851596550386,FALSE
"CRBLM","GSM394196","1079",0.996397511233767,18.192308310824,FALSE
"CRBLM","GSM394163","1710",0.996527023177979,16.962265723215,FALSE
"TCTX","GSM394568","4598",0.996511926995112,16.9309601016337,FALSE
"TCTX","GSM394591","1454",0.996647518587861,16.2800719150302,FALSE
"TCTX","GSM394567","4593",0.996899282587711,15.1296850050245,FALSE
"CRBLM","GSM394123","4598",0.997409002939251,12.7962916597894,FALSE
